,epic,pl_mass,pl_mass_err+,pl_mass_err-,planet,mcmc_P(days)_,pl_radius,pl_rad_err,st_mass,kepmag,semi_amp
2,201437844,8.049472512113734,2.4354024130334597,2.423369556869429,c,9.55262060786,2.3628974996944954,0.1803196056708113,1.202,9.234,2.1433237151511024
4,228721452,8.505293866588724,4.791517260032768,4.63244188946538,b,4.563293988030001,2.458290578448793,0.9114684571238334,1.189,11.325,2.918137218209504
6,201164625,7.1160224564881,3.972774710952635,4.057808389524782,b,2.71144011888,2.1422639385069795,0.7264878666381559,1.290089323861778,11.919,2.7503585415650407
9,201132684,5.83670885259916,2.866105725497209,2.8419491175643663,c,5.90890991646,1.840832098699228,0.3944308425473708,0.903,11.678,2.207181830767087
13,201595106,5.426853119537139,2.8483367577243612,2.8384744375344937,b,0.8771292628659999,1.7451067861807974,0.3861937145562794,1.0199950523699592,11.678,3.5734978364773746
16,228732031,5.48720601091299,2.352947528157447,2.2698415329943704,b,0.369322539831,1.7434968248837095,0.13160706718191525,0.8560424359362706,11.937,5.418139930114974
21,228804845,5.721656704707115,2.5120048705736284,2.4490253638742616,b,2.8599175188,1.8011199939542617,0.2507545612432475,1.0863260189208233,12.550999999999998,2.4362915150280653
59,201225286,6.986652646522445,2.5950336353463106,2.5780578853331884,b,12.420671705899998,2.1101364818728725,0.2847967521335682,0.785,11.729,2.264313761804404
73,228801451,6.848326941952635,2.8474308722420485,2.7723303134868367,c,8.32765199248,2.082965758510264,0.3801333788994258,0.8822335873383766,10.955,2.3459449322581056
