,epic,m,m_err+,m_err-,pl,p,r,r_err,st_mass,kepmag,semi_amp
0,201092629,6.922223173729876,2.313030481663027,2.3115542972785645,b,26.810369,2.1,0.1,0.7051052411549912,11.858,1.8646764805551326
1,201102594,9.626050885794754,4.639341599007379,4.291644819164218,b,6.513566,2.73,0.83,0.342,15.615,6.731367838807242
2,201110617,4.1626104974578695,4.0221534099193015,3.6484432696908846,b,0.8131010000000001,1.49,0.7,0.6243230834508806,12.947,3.8994995668960484
3,201128338,7.774034945223035,2.408455144223802,2.4032773868205215,b,32.654115999999995,2.3,0.18,0.5483005297085757,13.114,2.3188842091337363
4,201132684,202.7751279246595,202.64069520662338,95.7254774612012,b,10.060960000000001,30.05,6.26,0.903,11.678,64.18759731594353
5,201132684,5.802092765953521,2.8395107832896773,2.812623253652269,c,5.90891,1.83,0.39,0.903,11.678,2.1940917355443252
6,201164625,7.075851623707726,3.9884841933797475,4.013848219389695,b,2.71144,2.14,0.72,1.290089323861778,11.919,2.7348326356668484
7,201166680,7.450928669208585,2.524515232436549,2.5409175509886373,b,24.941841,2.22,0.25,1.2930000000000001,10.897,1.3723562638210187
8,201166680,7.1281337764173,2.57135824642822,2.544474522901929,c,11.540582,2.15,0.27,1.2930000000000001,10.897,1.6974596271696845
9,201211526,4.74366467439649,2.409077817318627,2.280080055530812,b,21.072025,1.56,0.2,0.8705251136576477,11.696,1.2031587724513768
10,201234090,1.142962506088275,3.243650850589731,1.0261024844368074,b,37.274164,0.98,0.43,0.33899999999999997,17.003,0.44950025527320314
11,201274010,8.789881850678945,2.8184690856421106,2.8056924345691465,b,13.00838,2.53,0.35,0.9329999999999999,13.902,2.500053695566664
12,201352100,10.283368640423252,2.9341202111407263,2.8522153752130768,b,13.382207999999999,2.87,0.35,0.8663162414447578,12.798,3.044164927714732
13,201386739,14.19324534502885,3.431982851975139,3.126413441391927,b,5.767432,3.69,0.34,0.8719662028545607,14.423,5.538306043727779
14,201390048,4.55134697332016,2.3297403890444865,2.2205077303091665,b,9.458907,1.51,0.18,0.746,11.961,1.671084570577416
15,201390927,5.6127909867042405,2.3641627514817163,2.2934380963492065,b,2.6379259999999998,1.77,0.16,0.585,14.21,3.709218398686412
16,201392505,11.605346052247501,2.768860835953433,2.676159951830517,b,27.459623999999998,3.15,0.24,0.7911280736845246,13.384,2.87223037385898
17,201437844,16.73266550844665,3.8969847660689396,3.4457232604786903,b,21.057392999999998,4.19,0.32,1.202,9.234,3.423354202137895
18,201437844,7.83767013987945,2.540586274599975,2.504050945221425,c,9.552621,2.32,0.24,1.202,9.234,2.0869280509207124
19,201595106,5.413127007270544,2.8362679542579965,2.8527169967178576,b,0.877129,1.74,0.39,1.0199950523699592,11.678,3.5644598585364635
20,201598502,6.538193502210076,2.5311430413584297,2.511185865281485,b,7.514982000000001,2.0,0.26,0.44799999999999995,14.331,3.6412772342087836
21,201615463,9.304933588622479,3.314606203448143,3.165684120997919,b,8.526224000000001,2.65,0.49,1.135,11.964,2.6735808435317963
22,228707509,70.44305828502985,37.87767972740335,23.730795206066936,b,15.350901,12.93,1.29,0.815,14.806,20.74515409411923
23,228721452,6.19430256616297,2.8438915396774265,2.828272312144331,b,4.563294,1.92,0.39,1.189,11.325,2.1252522826975593
24,228725791,73.71502233485555,69.63686530057802,36.948729351156814,b,2.250263,14.02,5.39,0.436,14.344,62.4659799749093
25,228725791,5.69037367068349,2.495339911070136,2.450609160819341,c,6.491739,1.79,0.25,0.436,14.344,3.3883486033988937
26,228725972,6.832028518851386,2.894949975938534,2.900211867648293,b,8.958003,2.07,0.41,1.012,12.482,2.084441525582801
27,228729473,88.85080668946316,58.199269349892006,33.36580194722126,b,16.773321,15.61,2.31,1.0420138110331445,11.524,21.565947506717553
28,228732031,5.4803759245600805,2.3463470574472503,2.264706474049526,b,0.369323,1.74,0.13,0.8560424359362706,11.937,5.41139365131106
29,228734900,14.0825204990597,5.107356313052868,4.385227798950359,b,15.872973000000002,3.69,0.77,1.129,11.535,3.3008375405302632
30,228735255,62.592293205394554,34.69177346477842,21.007102115213428,b,6.569175,11.87,1.69,1.01,12.483,21.20243625832428
31,228736155,4.017129129276491,2.1995110378812512,2.0596885818410966,b,3.271299,1.39,0.14,0.9540000000000001,12.042,1.7835137433064272
32,228739306,9.057675002666489,2.706260345608378,2.6562122429184125,b,7.172296,2.59,0.29,0.8953517187382429,13.318,3.2292084447681315
33,228748383,5.21707431790503,2.5591851654096693,2.467453124322056,b,12.410031,1.68,0.27,1.038,12.459,1.4039019845062162
34,228748826,9.074934550495659,2.790258731200744,2.7642926574240185,b,4.014327,2.6,0.33,0.8187226548080264,13.948,4.167174952075437
35,228753871,9.072040335524768,2.952601951984029,2.865503303122205,b,18.693403,2.6,0.38,0.9079999999999999,13.19,2.328339223563022
36,228758778,7.61603915928187,2.6782512376140506,2.676220090186825,b,9.300875999999999,2.26,0.31,0.39,14.806,4.333091114105004
37,228758948,17.11684409158455,4.446499210524273,3.774943094169302,b,12.202667,4.28,0.45,1.0826034179040858,12.866,4.503831021888812
38,228763938,5.571362467073985,2.4292878122916814,2.3652690646711125,b,13.813479999999998,1.76,0.21,0.8084853425512661,12.64,1.7088723104334806
39,228798746,3.13792659725644,1.9542588776659837,1.749648067765166,b,2.698404,1.25,0.12,0.7090000000000001,12.66,1.8105441129994861
40,228801451,2.6670188858022,1.2467784735448024,1.4767030517127004,b,0.58425,1.16,0.04,0.8822335873383766,10.955,2.215158586637172
41,228801451,6.864333212240055,2.827023999850649,2.8249287734165174,c,8.327652,2.08,0.39,0.8822335873383766,10.955,2.351427912118952
42,228804845,5.714297605853121,2.4927231532926264,2.4480051186271394,b,2.859918,1.8,0.25,1.0863260189208233,12.550999999999998,2.4331578943041063
43,228809391,9.407751626962138,2.5339729411786784,2.5422319721100255,b,19.579660999999998,2.67,0.22,0.945084103248222,12.595,2.3148977749154525
44,228809550,45.90772765401635,19.098118636065657,13.057536316319599,b,4.001513,9.23,0.8,0.795,14.665,21.51886719986821
45,228834632,6.6909767076814095,2.51341818449524,2.477701031794049,b,11.729030999999999,2.04,0.24,0.555,14.887,2.7850499761848853
46,228846243,42.9921582725007,21.784626311050403,13.769692525624652,b,25.551248,8.94,1.59,1.0590000000000002,14.505,8.972688431876861
47,228888935,32.2407872798249,11.485065488676646,8.144600010374532,b,5.690862,7.03,0.74,0.843,14.103,12.924030302587118
48,228894622,9.638546804525475,2.5926817305691507,2.6081085376886906,b,1.9640900000000001,2.72,0.24,0.6886267966498516,13.319,6.3036628001168395
49,228934525,6.480230522121564,2.9197555000569135,2.899669480658704,b,3.676246,1.99,0.42,0.5420212686225097,13.351,4.034016250777723
50,228934525,5.87935257673352,2.384733336603418,2.338742450863408,c,7.954515,1.84,0.18,0.5420212686225097,13.351,2.829705749464104
51,228962330,8.779566602508524,2.63304856101732,2.629905398703727,b,12.435995,2.53,0.28,0.753,15.119000000000002,2.9242158962574645
52,228968232,18.144756650539648,15.16916762819146,10.635362851267555,b,5.520965,4.43,2.53,0.773,14.659,7.784715260670926
53,228974324,0.07445023610067325,0.06649314067766113,0.050567124772533265,b,1.605924,0.46,0.05,0.29100000000000004,12.873,0.0924695750826297
54,228974907,9.328717271894755,3.2452036335554144,3.1228992440988037,b,20.782321,2.66,0.47,1.91,9.344,1.4077777033160195
55,229017395,10.3496329568509,3.2239870917765714,3.1319192149806057,b,19.092301000000003,2.88,0.44,1.02,13.163,2.44080590144243
56,229131722,7.0108527702763705,2.4857511046152716,2.4870723493287805,b,15.479926999999998,2.12,0.23,1.1115462666343228,12.515,1.674405682703331
