epic,planet,mcmc_P(days)_,pl_radius,pl_rad_err,st_mass,kepmag
228974907,b,20.7823206695,3.015405458242616,0.4985946182091213,1.91,9.344
201437844,b,21.0573932544,4.257260683344925,0.15695357870608975,1.202,9.234
201437844,c,9.55262060786,2.362897499694495,0.1803196056708113,1.202,9.234
229004835,b,16.1386973875,2.0380585743054294,0.27683085427493137,0.9291403270101075,10.151
228721452,b,4.563293988030001,2.458290578448793,0.9114684571238334,1.189,11.325
228721452,c,0.505599377643,1.3749037702058757,0.5144779467978694,1.189,11.325
201164625,b,2.71144011888,2.1422639385069795,0.726487866638156,1.2900893238617779,11.919
229133720,b,4.03680853052,7.287462267740598,4.30284323756963,0.915,11.477
201132684,b,10.0609601346,30.155395260603132,6.5458347166959525,0.903,11.677999999999999
201132684,c,5.90890991646,1.8408320986992281,0.39443084254737076,0.903,11.677999999999999
201127519,b,6.1788387253999995,9.12168616761131,0.5725431363244582,0.79580107554897,11.558
201211526,b,21.0720250908,1.5580902605241436,0.20184296526899817,0.8705251136576477,11.696
228729473,b,16.7733212397,15.611849009939656,2.275123224104836,1.0420138110331445,11.524000000000001
201595106,b,0.8771292628659999,1.7451067861807974,0.3861937145562794,1.0199950523699592,11.677999999999999
228748383,b,12.4100310219,1.9328496198742338,0.7802020056943121,1.038,12.459000000000001
201092629,b,26.8103692811,2.10244767797608,0.10624034818188073,0.7051052411549912,11.857999999999999
228732031,b,0.369322539831,1.7434968248837097,0.13160706718191523,0.8560424359362706,11.937000000000001
201357643,b,11.8936734147,5.272076768604782,1.16274963800449,0.8679577730789805,11.998
228736155,b,3.27129856768,3.6607556921045834,1.9620374822746316,0.9540000000000001,12.042
229131722,b,15.479927044,2.118095629060541,0.22824698061298643,1.1115462666343228,12.515
228735255,b,6.569174611189999,13.73608385695142,5.320423759488434,1.01,12.482999999999999
228804845,b,2.8599175188,1.8011199939542617,0.2507545612432475,1.0863260189208233,12.550999999999998
228809391,b,19.5796609284,2.672925763368745,0.21411894124464256,0.945084103248222,12.595
228763938,b,13.8134796273,1.762052543220634,0.21407531731580412,0.8084853425512661,12.64
201352100,b,13.382208354000001,2.8724532788468276,0.3553643129794943,0.866316241444758,12.798
228758948,b,12.202666837899999,4.281789019128594,0.44815465882226363,1.0826034179040858,12.866
201180665,b,17.7731420559,21.236429928992827,6.512747125139618,0.929,13.08
229017395,b,19.0923009712,3.1354195905116438,0.6263384144274808,1.02,13.163
228739306,b,7.17229560579,2.586435033500722,0.2949672238242833,0.8953517187382429,13.318
201110617,b,0.813101067288,1.4858851848107908,0.7046499319906151,0.6243230834508806,12.947000000000001
228724899,b,5.20259764811,3.2976922884218376,0.34384368913897495,0.9596967809973529,13.293
201392505,b,27.459624233699998,3.1480231375192607,0.2437402412726565,0.7911280736845246,13.384
228974324,b,1.6059236788299998,0.46162274965638683,0.041226782687499686,0.29100000000000004,12.873
201128338,b,32.6541163,2.303682135665247,0.18042748453185053,0.5483005297085757,13.114
228894622,b,1.96408994792,2.720944635593592,0.24486884207878917,0.6886267966498516,13.319
229103251,b,11.6679199953,3.338710020527702,0.8670279602882758,0.91,13.68
228720681,b,15.7817334029,9.996076098409626,1.6710371776508277,0.8741959962354332,13.763
228934525,b,3.67624562015,1.992341368553709,0.4223893297625768,0.5420212686225097,13.350999999999999
228934525,c,7.95451514245,1.8364729824252815,0.17686575180618652,0.5420212686225097,13.350999999999999
228849382,b,12.118885190799999,2.1251804268729924,0.34718022393470566,0.6629999999999999,13.765
228849382,c,4.09697320962,1.688130049341625,0.7222561605818288,0.6629999999999999,13.765
228748826,b,4.014327499509999,2.6045903923820037,0.32901516389384444,0.8187226548080264,13.948
228888935,b,5.690861938019999,6.770312572205896,1.1960045284585823,0.843,14.103
201386739,b,5.767431595090001,3.6878076800044868,0.34745306908877494,0.8719662028545607,14.423
228846243,b,25.551247873,9.47142651941422,1.3592612576424965,1.0590000000000002,14.505
201390927,b,2.63792572473,1.5964944148085622,0.1620150022495303,0.585,14.21
228809550,b,4.0015127238699995,8.945617170549257,1.0706969898684395,0.795,14.665
228968232,b,5.52096535186,4.242121364134851,3.0331155024094354,0.773,14.659
228725791,b,2.25026302939,10.70022544747836,4.344613617363017,0.436,14.344000000000001
228725791,c,6.4917393808899995,1.3657355802148103,0.26426877771435314,0.436,14.344000000000001
201598502,b,7.5149815038800005,1.589474632786719,0.2540414053318823,0.44799999999999995,14.331
228707509,b,15.350901110399999,12.462427121232855,6.866688271941923,0.815,14.806
228758778,b,9.30087568888,1.7037409083216322,0.3044778627044327,0.39,14.806
201102594,b,6.513565800399999,2.460034282776111,0.7867882130608364,0.342,15.615
228964773,b,37.2075165104,4.768375975353571,0.8045157493356205,0.8820304946190985,14.948
228962330,b,12.435994676099998,2.3884483070919016,0.30965586451564264,0.753,15.119000000000002
201234090,b,37.2741640856,1.5224462429800363,0.8190960280726972,0.33899999999999997,17.003
201166680,b,24.9418409088,2.1578620991783506,0.26152400509903284,1.2930000000000001,10.897
201166680,c,11.5405817851,2.097825202657124,0.2781610475282059,1.2930000000000001,10.897
201225286,b,12.420671705899998,2.1101364818728725,0.2847967521335682,0.785,11.729000000000001
201274010,b,13.0083796054,2.586530698533957,0.580264423635375,0.9329999999999999,13.902000000000001
201299088,b,21.1850553411,22.623774219797536,4.6319845825068295,0.8811540809296786,11.751
201615463,b,8.526223788089998,2.7146429211982683,0.4751767124075705,1.135,11.964
228734900,b,15.872973034500001,3.8944660830009066,0.6708169897371319,1.129,11.535
