,epic,m,m_err+,m_err-,pl,p,r,r_err,st_mass,semi_amp
28,228732031,0.28523444276315935,0.15779064931500247,0.19853870530437479,b,0.369323,1.74,0.13,0.8560424359362706,0.28164757933671525
29,228734900,2.9921559947997562,0.7718256930969902,1.3831862196897051,b,15.872973000000002,3.69,0.77,1.129,0.7013527968965584
30,228735255,20.855860003957545,2.033793661453185,3.6190171658630206,b,6.569175,11.87,1.69,1.01,7.065272941692199
31,228736155,0.106314276477157,0.06856667313724021,0.06961260466503263,b,3.271299,1.39,0.14,0.9540000000000001,0.04720150232625499
32,228739306,1.5845350164352308,0.5787942369347112,0.8877987760930252,b,7.172296,2.59,0.29,0.8953517187382429,0.5649219459959609
33,228748383,0.19051053095367787,0.09899291511730185,0.1301297455594247,b,12.410031,1.68,0.27,1.038,0.05126641678812434
34,228748826,1.4638941662226435,0.5113966912880037,0.8073848461703821,b,4.014327,2.6,0.33,0.8187226548080264,0.6722270715034776
35,228753871,1.4187104523228682,0.5205974127301594,0.7870293415219486,b,18.693403,2.6,0.38,0.9079999999999999,0.36411819521019856
36,228758778,0.7464537100553772,0.354360029331209,0.4706283391184974,b,9.300875999999999,2.26,0.31,0.39,0.4247044915732271
37,228758948,7.238142398928668,0.7559779095226613,1.7573756090868553,b,12.202667,4.28,0.45,1.0826034179040858,1.904554709011917
38,228763938,0.2766601646259144,0.16626813396347007,0.18767012335487676,b,13.813479999999998,1.76,0.21,0.8084853425512661,0.08485951118551885
39,228798746,0.06520006198754519,0.04136283100946998,0.043574279091598195,b,2.698404,1.25,0.12,0.7090000000000001,0.03761994086171982
40,228801451,0.3704583327765012,0.20367695736561975,0.2498257347130954,b,0.58425,1.16,0.04,0.8822335873383766,0.30769494713986495
41,228801451,0.3704583327765012,0.20367695736561975,0.2498257347130954,c,8.327652,2.08,0.39,0.8822335873383766,0.1269051018634457
42,228804845,0.27593753075860344,0.161643361267444,0.1865203445865113,b,2.859918,1.8,0.25,1.0863260189208233,0.11749586023916175
43,228809391,1.994186278769278,0.6214816654538797,1.0406044459195074,b,19.579660999999998,2.67,0.22,0.945084103248222,0.4907027827631367
44,228809550,17.957481858700852,1.6313196397173364,3.243840042717334,b,4.001513,9.23,0.8,0.795,8.418013561878027
45,228834632,0.5379930336807643,0.266940865001013,0.3481725450074108,b,11.729030999999999,2.04,0.24,0.555,0.22393901804472763
46,228846243,15.157967067066757,1.408586850015645,2.5940916710981945,b,25.551248,8.94,1.59,1.0590000000000002,3.16371357437828
47,228888935,14.117267382886865,1.1023546686777284,2.412811716370822,b,5.690862,7.03,0.74,0.843,5.6592863323040286
48,228894622,2.185091041102143,0.5623975879655934,1.0998233252432144,b,1.9640900000000001,2.72,0.24,0.6886267966498516,1.429092576744073
49,228934525,0.23755191135587303,0.1357494476242063,0.15689826985127261,b,3.676246,1.99,0.42,0.5420212686225097,0.14788214274352804
50,228934525,0.23755191135587303,0.1357494476242063,0.15689826985127261,c,7.954515,1.84,0.18,0.5420212686225097,0.1143350417325381
51,228962330,1.4171759225599077,0.5613941848640243,0.7816544559222178,b,12.435995,2.53,0.28,0.753,0.47202893909842825
52,228968232,0.01136074332912402,0.013142752017552311,0.00825781687355813,b,5.520965,4.43,2.53,0.773,0.0048743727283757895
53,228974324,0.0007639098264038893,0.0004531779977921044,0.0005318325655735651,b,1.605924,0.46,0.05,0.29100000000000004,0.0009488009249104556
54,228974907,1.2089440775017553,0.4867375607094333,0.6987450361052294,b,20.782321,2.66,0.47,1.91,0.18244083913820763
55,229017395,1.9896791593332008,0.590106082930588,1.0248979326279375,b,19.092301000000003,2.88,0.44,1.02,0.4692437277796164
56,229131722,0.6218601830483912,0.3110778058987652,0.41768428201538593,b,15.479926999999998,2.12,0.23,1.1115462666343228,0.14852090676424168
57,229133720,1.0815184527533055,0.42219874853291595,0.6591556299728867,b,4.036809,2.35,0.21,0.915,0.4603019023575704
